2025-04-09 02:39:39,247 p=42009 u=root n=ansible | Encryption successful
2025-04-09 04:08:38,332 p=55355 u=root n=ansible | TASK [splunk : Set boot-start method to systemd] ************************************************************************************************************************************
2025-04-09 04:08:38,399 p=55355 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:08:38,431 p=55355 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:08:38,446 p=55355 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:08:38,481 p=55355 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:08:38,502 p=55355 u=root n=ansible | TASK [splunk : Set boot-start method to initd] **************************************************************************************************************************************
2025-04-09 04:08:38,538 p=55355 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:08:38,569 p=55355 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:08:38,601 p=55355 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:08:38,609 p=55355 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:08:38,630 p=55355 u=root n=ansible | TASK [splunk : Configure vars for full package] *************************************************************************************************************************************
2025-04-09 04:08:38,772 p=55355 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:08:38,774 p=55355 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:08:38,783 p=55355 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:08:38,828 p=55355 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:08:38,849 p=55355 u=root n=ansible | TASK [Configure var for splunk systemd service handler] *****************************************************************************************************************************
2025-04-09 04:08:38,946 p=55355 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:08:38,948 p=55355 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:08:38,970 p=55355 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:08:39,003 p=55355 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:08:39,026 p=55355 u=root n=ansible | TASK [splunk : Configure vars for uf package] ***************************************************************************************************************************************
2025-04-09 04:08:39,095 p=55355 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:08:39,127 p=55355 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:08:39,138 p=55355 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:08:39,170 p=55355 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:08:39,191 p=55355 u=root n=ansible | TASK [splunk : Setting least priviledged mode] **************************************************************************************************************************************
2025-04-09 04:08:39,259 p=55355 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:08:39,292 p=55355 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:08:39,302 p=55355 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:08:39,335 p=55355 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:08:39,356 p=55355 u=root n=ansible | TASK [Configure var for splunkforwarder systemd service handler] ********************************************************************************************************************
2025-04-09 04:08:39,423 p=55355 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:08:39,457 p=55355 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:08:39,466 p=55355 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:08:39,501 p=55355 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:08:39,522 p=55355 u=root n=ansible | TASK [Configure var for splunk init.d service handler] ******************************************************************************************************************************
2025-04-09 04:08:39,589 p=55355 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:08:39,622 p=55355 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:08:39,631 p=55355 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:08:39,666 p=55355 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:08:39,689 p=55355 u=root n=ansible | TASK [splunk : Check if Splunk is installed] ****************************************************************************************************************************************
2025-04-09 04:08:40,116 p=55355 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:08:40,125 p=55355 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:08:40,125 p=55355 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:08:40,127 p=55355 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:08:40,149 p=55355 u=root n=ansible | TASK [splunk : Check if active boot-start configuration is systemd] *****************************************************************************************************************
2025-04-09 04:08:40,218 p=55355 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:08:40,251 p=55355 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:08:40,261 p=55355 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:08:40,297 p=55355 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:08:40,319 p=55355 u=root n=ansible | TASK [Set current_start_method var to systemd if systemd is being used for splunk] **************************************************************************************************
2025-04-09 04:08:40,388 p=55355 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:08:40,421 p=55355 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:08:40,430 p=55355 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:08:40,463 p=55355 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:08:40,485 p=55355 u=root n=ansible | TASK [splunk : Check if active boot-start method is init.d] *************************************************************************************************************************
2025-04-09 04:08:40,555 p=55355 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:08:40,588 p=55355 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:08:40,598 p=55355 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:08:40,631 p=55355 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:08:40,652 p=55355 u=root n=ansible | TASK [Set current_start_method to initd if initd is being used for splunk] **********************************************************************************************************
2025-04-09 04:08:40,719 p=55355 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:08:40,755 p=55355 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:08:40,762 p=55355 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:08:40,798 p=55355 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:08:40,820 p=55355 u=root n=ansible | TASK [splunk : set current_start_method to disabled if boot-start is disabled] ******************************************************************************************************
2025-04-09 04:08:40,888 p=55355 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:08:40,920 p=55355 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:08:40,931 p=55355 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:08:40,965 p=55355 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:08:40,988 p=55355 u=root n=ansible | TASK [splunk : Set boot-start misconfigured var] ************************************************************************************************************************************
2025-04-09 04:08:41,057 p=55355 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:08:41,090 p=55355 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:08:41,106 p=55355 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:08:41,139 p=55355 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:08:41,161 p=55355 u=root n=ansible | TASK [splunk : Fail the play if the currently configured boot-start method does match the expected state or boot-start is not enabled] **********************************************
2025-04-09 04:08:41,231 p=55355 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:08:41,265 p=55355 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:08:41,273 p=55355 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:08:41,307 p=55355 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:08:41,329 p=55355 u=root n=ansible | TASK [splunk : Include the specified task file] *************************************************************************************************************************************
2025-04-09 04:08:41,652 p=55355 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 04:08:41,686 p=55355 u=root n=ansible | TASK [splunk : ansible.builtin.include_tasks] ***************************************************************************************************************************************
2025-04-09 04:08:41,905 p=55355 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/splunk_stop.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 04:08:41,942 p=55355 u=root n=ansible | TASK [Stop splunk] ******************************************************************************************************************************************************************
2025-04-09 04:08:42,749 p=55355 u=root n=ansible | fatal: [rh8-sh-1]: FAILED! => changed=false 
  msg: 'Could not find the requested service Splunkd: host'
2025-04-09 04:08:42,750 p=55355 u=root n=ansible | ...ignoring
2025-04-09 04:08:42,769 p=55355 u=root n=ansible | fatal: [rh8-idx-1]: FAILED! => changed=false 
  msg: 'Could not find the requested service Splunkd: host'
2025-04-09 04:08:42,770 p=55355 u=root n=ansible | ...ignoring
2025-04-09 04:08:42,772 p=55355 u=root n=ansible | fatal: [rh8-ds-1]: FAILED! => changed=false 
  msg: 'Could not find the requested service Splunkd: host'
2025-04-09 04:08:42,772 p=55355 u=root n=ansible | ...ignoring
2025-04-09 04:08:42,774 p=55355 u=root n=ansible | fatal: [rh8-idx-2]: FAILED! => changed=false 
  msg: 'Could not find the requested service Splunkd: host'
2025-04-09 04:08:42,774 p=55355 u=root n=ansible | ...ignoring
2025-04-09 04:08:42,796 p=55355 u=root n=ansible | TASK [splunk : Disable boot-start] **************************************************************************************************************************************************
2025-04-09 04:08:43,248 p=55355 u=root n=ansible | fatal: [rh8-sh-1]: FAILED! => changed=false 
  cmd: /opt/splunk/bin/splunk disable boot-start
  msg: '[Errno 2] No such file or directory: b''/opt/splunk/bin/splunk'': b''/opt/splunk/bin/splunk'''
  rc: 2
2025-04-09 04:08:43,248 p=55355 u=root n=ansible | ...ignoring
2025-04-09 04:08:43,257 p=55355 u=root n=ansible | fatal: [rh8-idx-1]: FAILED! => changed=false 
  cmd: /opt/splunk/bin/splunk disable boot-start
  msg: '[Errno 2] No such file or directory: b''/opt/splunk/bin/splunk'': b''/opt/splunk/bin/splunk'''
  rc: 2
2025-04-09 04:08:43,257 p=55355 u=root n=ansible | ...ignoring
2025-04-09 04:08:43,259 p=55355 u=root n=ansible | fatal: [rh8-idx-2]: FAILED! => changed=false 
  cmd: /opt/splunk/bin/splunk disable boot-start
  msg: '[Errno 2] No such file or directory: b''/opt/splunk/bin/splunk'': b''/opt/splunk/bin/splunk'''
  rc: 2
2025-04-09 04:08:43,259 p=55355 u=root n=ansible | ...ignoring
2025-04-09 04:08:43,262 p=55355 u=root n=ansible | fatal: [rh8-ds-1]: FAILED! => changed=false 
  cmd: /opt/splunk/bin/splunk disable boot-start
  msg: '[Errno 2] No such file or directory: b''/opt/splunk/bin/splunk'': b''/opt/splunk/bin/splunk'''
  rc: 2
2025-04-09 04:08:43,262 p=55355 u=root n=ansible | ...ignoring
2025-04-09 04:08:43,283 p=55355 u=root n=ansible | TASK [Remove splunk folder] *********************************************************************************************************************************************************
2025-04-09 04:08:43,744 p=55355 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:08:43,760 p=55355 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:08:43,761 p=55355 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:08:43,762 p=55355 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:08:43,783 p=55355 u=root n=ansible | TASK [Remove splunk service drop-in directory] **************************************************************************************************************************************
2025-04-09 04:08:44,103 p=55355 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:08:44,126 p=55355 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:08:44,164 p=55355 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:08:44,196 p=55355 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:08:44,218 p=55355 u=root n=ansible | TASK [Remove nix splunk user] *******************************************************************************************************************************************************
